requirement_id,source,owning_workstream,implementation_task,verification_task,qualifying_test,required_backend,expected_evidence,target_gate,current_baseline_status
FR-173,Q17.2` / `DEC-187`; `DEC-025`; OOS-001–OOS-005; Context Pack Fonte D §D.6,WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-173.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-174,"Q17.5` / `DEC-190`; `ARC-015`; Prompt Master `IRB-10`, `IRB-11`, `IRB-17",WS-10,OCOR-DEV-0054,OCOR-DEV-0062,FGM qualifying case plus requirement-specific negative fixture,real memory metadata/content/full-text/vector stack,reports/evidence/G6/FR-174.json + raw-log hash,G6,ABSENT
NFR-001,"DEC-020, ARC-018",WS-12,OCOR-DEV-0049,OCOR-DEV-0066,deployment/recovery/air-gap qualification,complete offline PoC stack,reports/evidence/G6/NFR-001.json + raw-log hash,G6,ABSENT
NFR-002,"DEC-021, ARC-019",WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-002.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-003,DEC-026,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/NFR-003.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-004,DEC-027,WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-004.json + raw-log hash,G6,ABSENT
NFR-005,"work/irb_2_4.md §Q2.4`; `DEC-033`; Context Pack `ARC-014`, `ARC-017`; `EV-002`.",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/NFR-005.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-006,"work/irb_2_4.md §Q2.7`; `DEC-036`; Context Pack `ARC-016`, `ARC-017`; Fonte B §§35–39, 51.",WS-10,OCOR-DEV-0050,OCOR-DEV-0062,FGM qualifying case plus requirement-specific negative fixture,real memory metadata/content/full-text/vector stack,reports/evidence/G6/NFR-006.json + raw-log hash,G6,ABSENT
NFR-007,"work/irb_2_4.md §Q3.5`; `DEC-042`; Context Pack `ARC-013`, `ARC-017`; Fonte B §§65–69.",WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-007.json + raw-log hash,G6,ABSENT
NFR-008,"work/irb_2_4.md §Q3.7`; `DEC-044`; Context Pack `ARC-009`, `ARC-017`; `NFR-003`, `NFR-004`.",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/NFR-008.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-009,"work/irb_2_4.md §Q3.10`; `DEC-047`; Decision Register `DEC-026`, `DEC-027`; `NFR-003`, `NFR-004`; `OI-008`.",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/NFR-009.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-010,"work/irb_2_4.md §Q4.2`; `DEC-051`; Context Pack `ARC-017`, §6.1.1; Prompt Master `IRB-4`.",WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/NFR-010.json + raw-log hash,G6,DOCUMENTATION_ONLY
NFR-011,"work/irb_2_4.md §Q4.9`; `DEC-058`; Context Pack `ARC-017`; Prompt Master `IRB-4`, `IRB-18`; `EV-007`.",WS-13,OCOR-DEV-0067,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-011.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-012,DEC-008`; `DEC-012`; `ARC-004,WS-06,OCOR-DEV-0040,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-012.json + raw-log hash,G6,ABSENT
NFR-013,ARC-003`; Fonte C §2.2,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/NFR-013.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-014,Fonte B §§54–59; Fonte B §106.8–10,WS-13,OCOR-DEV-0067,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-014.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-015,ARC-013`; Fonte C §3.2,WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-015.json + raw-log hash,G6,ABSENT
NFR-016,"ARC-015`; Fonte B §§70, 78–83",WS-10,OCOR-DEV-0050,OCOR-DEV-0062,FGM qualifying case plus requirement-specific negative fixture,real memory metadata/content/full-text/vector stack,reports/evidence/G6/NFR-016.json + raw-log hash,G6,ABSENT
NFR-017,"Prompt Master, Matrice B; `ARC-017`; Context Pack §6.2",WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-017.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-018,DEC-015`; Fonte C §§2.3–2.5,WS-02,OCOR-DEV-0032,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-018.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-019,ARC-017`; Fonte C §§2.1 e 2.5,WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/NFR-019.json + raw-log hash,G6,DOCUMENTATION_ONLY
NFR-020,Fonte C §2.6; Fonte D §D.4,WS-02,OCOR-DEV-0033,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-020.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-021,DEC-015`; Fonte C §§2.3 e 2.5; Fonte D §§D.1–D.4,WS-13,OCOR-DEV-0067,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-021.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-022,DEC-008`; `DEC-012`; Fonte D §D.5,WS-04,OCOR-DEV-0036,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-022.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-023,DEC-015`; `ARC-005`; proposta ratificata in Q6.8,WS-02,OCOR-DEV-0032,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-023.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-024,Fonte C §1.4; `DEC-081,WS-05,OCOR-DEV-0039,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-024.json + raw-log hash,G6,ABSENT
NFR-025,Prompt IRB-7; `ARC-014`; `DEC-082,WS-10,OCOR-DEV-0050,OCOR-DEV-0061,FGM qualifying case plus requirement-specific negative fixture,real memory metadata/content/full-text/vector stack,reports/evidence/G6/NFR-025.json + raw-log hash,G6,ABSENT
NFR-026,"BR-005`; `ARC-016`,`ARC-017`; `DEC-087",WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/NFR-026.json + raw-log hash,G6,DOCUMENTATION_ONLY
NFR-027,ARC-017`; Prompt IRB-8; `DEC-090,WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-027.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-028,Fonte D §D.2; `DEC-091,WS-06,OCOR-DEV-0041,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-028.json + raw-log hash,G6,ABSENT
NFR-029,"DEC-026`,`DEC-027`; `DEC-094",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/NFR-029.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-030,DEC-015`; `ARC-017`; Fonte C §3.3; `DEC-100,WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-030.json + raw-log hash,G6,ABSENT
NFR-031,DEC-027`; `ARC-014`; `DEC-101,WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/NFR-031.json + raw-log hash,G6,DOCUMENTATION_ONLY
NFR-032,DEC-010`; `ARC-013`; `DEC-102,WS-07,OCOR-DEV-0042,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/NFR-032.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-033,Fonte D §D.8; `DEC-107,WS-10,OCOR-DEV-0059,OCOR-DEV-0061,FGM qualifying case plus requirement-specific negative fixture,real memory metadata/content/full-text/vector stack,reports/evidence/G6/NFR-033.json + raw-log hash,G6,ABSENT
NFR-034,"DEC-008`; `ARC-006`,`ARC-015`; `DEC-111",WS-03,OCOR-DEV-0034,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-034.json + raw-log hash,G6,ABSENT
NFR-035,ARC-015`; Fonte B §83; `DEC-113,WS-09,OCOR-DEV-0047,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-035.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-036,ARC-015`; `DEC-117,WS-09,OCOR-DEV-0047,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-036.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-037,ARC-014`–`ARC-016`; `DEC-120,WS-03,OCOR-DEV-0034,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-037.json + raw-log hash,G6,ABSENT
NFR-038,Q11.1 → DEC-122,WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-038.json + raw-log hash,G6,ABSENT
NFR-039,Q11.2 → DEC-123,WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-039.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-040,Q11.3 → DEC-124,WS-03,OCOR-DEV-0034,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-040.json + raw-log hash,G6,ABSENT
NFR-041,Q11.4 → DEC-125,WS-12,OCOR-DEV-0049,OCOR-DEV-0066,deployment/recovery/air-gap qualification,complete offline PoC stack,reports/evidence/G6/NFR-041.json + raw-log hash,G6,ABSENT
NFR-042,Q11.6 → DEC-127,WS-12,OCOR-DEV-0049,OCOR-DEV-0066,deployment/recovery/air-gap qualification,complete offline PoC stack,reports/evidence/G6/NFR-042.json + raw-log hash,G6,ABSENT
NFR-043,Q11.7 → DEC-128,WS-12,OCOR-DEV-0049,OCOR-DEV-0066,deployment/recovery/air-gap qualification,complete offline PoC stack,reports/evidence/G6/NFR-043.json + raw-log hash,G6,ABSENT
NFR-044,Q11.8 → DEC-129,WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-044.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-045,Q11.8 → DEC-129,WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-045.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-046,Q11.9 → DEC-130,WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-046.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-047,Q11.11 → DEC-132,WS-07,OCOR-DEV-0044,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/NFR-047.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-048,Q11.12 → DEC-133,WS-10,OCOR-DEV-0050,OCOR-DEV-0062,FGM qualifying case plus requirement-specific negative fixture,real memory metadata/content/full-text/vector stack,reports/evidence/G6/NFR-048.json + raw-log hash,G6,ABSENT
NFR-049,Q11.13 → DEC-134,WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/NFR-049.json + raw-log hash,G6,DOCUMENTATION_ONLY
NFR-050,Q11.14 → DEC-135,WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-050.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-051,Q12.2 → DEC-138,WS-04,OCOR-DEV-0036,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-051.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-052,Q12.3 → DEC-139,WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/NFR-052.json + raw-log hash,G6,DOCUMENTATION_ONLY
NFR-053,Q12.5 → DEC-141,WS-03,OCOR-DEV-0034,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-053.json + raw-log hash,G6,ABSENT
NFR-054,Q12.6 → DEC-142,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/NFR-054.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-055,Q12.7 → DEC-143,WS-03,OCOR-DEV-0034,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-055.json + raw-log hash,G6,ABSENT
NFR-056,Q12.9 → DEC-145,WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/NFR-056.json + raw-log hash,G6,DOCUMENTATION_ONLY
NFR-057,Q12.10 → DEC-146,WS-02,OCOR-DEV-0033,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-057.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-058,Q12.11 → DEC-147,WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-058.json + raw-log hash,G6,ABSENT
NFR-059,Q13.1 → DEC-150,WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-059.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-060,Q13.1 → DEC-150,WS-03,OCOR-DEV-0034,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-060.json + raw-log hash,G6,ABSENT
NFR-061,Q13.2 → DEC-151,WS-06,OCOR-DEV-0040,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-061.json + raw-log hash,G6,ABSENT
NFR-062,Q13.3 → DEC-152,WS-02,OCOR-DEV-0032,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-062.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-063,Q13.4 → DEC-153,WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/NFR-063.json + raw-log hash,G6,DOCUMENTATION_ONLY
NFR-064,Q13.5 → DEC-154,WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/NFR-064.json + raw-log hash,G6,DOCUMENTATION_ONLY
NFR-065,Q13.6 → DEC-155,WS-12,OCOR-DEV-0049,OCOR-DEV-0066,deployment/recovery/air-gap qualification,complete offline PoC stack,reports/evidence/G6/NFR-065.json + raw-log hash,G6,ABSENT
NFR-066,Q13.6 → DEC-155,WS-07,OCOR-DEV-0042,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/NFR-066.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-067,Q13.7 → DEC-156,WS-12,OCOR-DEV-0049,OCOR-DEV-0066,deployment/recovery/air-gap qualification,complete offline PoC stack,reports/evidence/G6/NFR-067.json + raw-log hash,G6,ABSENT
NFR-068,Q13.8 → DEC-157,WS-03,OCOR-DEV-0034,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-068.json + raw-log hash,G6,ABSENT
NFR-069,Q13.9 → DEC-158,WS-07,OCOR-DEV-0042,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/NFR-069.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-070,Q13.11 → DEC-160,WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-070.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-071,Q13.12 → DEC-161,WS-03,OCOR-DEV-0034,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-071.json + raw-log hash,G6,ABSENT
NFR-072,Q13.12 → DEC-161,WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-072.json + raw-log hash,G6,ABSENT
NFR-073,Q13.13 → DEC-162,WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/NFR-073.json + raw-log hash,G6,DOCUMENTATION_ONLY
NFR-074,Q13.14 → DEC-163,WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/NFR-074.json + raw-log hash,G6,DOCUMENTATION_ONLY
NFR-075,Q14.1` / `DEC-165`; Context Pack Fonte C §§4.2–4.3; Fonte D §D.8; `ARC-017,WS-10,OCOR-DEV-0050,OCOR-DEV-0061,FGM qualifying case plus requirement-specific negative fixture,real memory metadata/content/full-text/vector stack,reports/evidence/G6/NFR-075.json + raw-log hash,G6,ABSENT
NFR-076,Q14.2` / `DEC-166`; Context Pack Fonte C §3.5; Fonte D §D.8,WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-076.json + raw-log hash,G6,ABSENT
NFR-077,"Q14.3` / `DEC-167`; Context Pack §6.1.5; `ARC-002`, `ARC-009`, `ARC-013",WS-09,OCOR-DEV-0047,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-077.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-078,Q14.4` / `DEC-168`; Context Pack Fonte C §1.5; Fonte D §§D.9–D.10; `DEC-020,WS-07,OCOR-DEV-0042,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/NFR-078.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-079,Q14.5` / `DEC-169`; `DEC-011`; `ARC-014`–`ARC-016`; Prompt Master `IRB-14,WS-06,OCOR-DEV-0041,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-079.json + raw-log hash,G6,ABSENT
NFR-080,"Q14.6` / `DEC-170`; `DEC-026`, `DEC-027`; `NFR-003`, `NFR-004`; `ARC-017",WS-12,OCOR-DEV-0049,OCOR-DEV-0066,deployment/recovery/air-gap qualification,complete offline PoC stack,reports/evidence/G6/NFR-080.json + raw-log hash,G6,ABSENT
NFR-081,"Q15.3` / `DEC-174`; `ARC-014`–`ARC-016`; Prompt Master `IRB-11`, `IRB-15",WS-07,OCOR-DEV-0044,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/NFR-081.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-082,"Q15.4` / `DEC-175`; `DEC-015`, `DEC-020`; Context Pack Fonte B §90; Fonte C §2.5",WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-082.json + raw-log hash,G6,ABSENT
NFR-083,Q15.5` / `DEC-176`; Prompt Master `IRB-15`; `DEC-020`; `ASM-011,WS-09,OCOR-DEV-0047,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-083.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-084,"Q16.2` / `DEC-179`; `DEC-020`; `ARC-017`, `ARC-022`; Context Pack Fonte C §§2.1, 2.5",WS-07,OCOR-DEV-0042,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/NFR-084.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-085,"Q16.3` / `DEC-180`; `DEC-020`; `ARC-017`; Context Pack Fonte B §§85, 90",WS-09,OCOR-DEV-0047,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-085.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-086,"Q16.4` / `DEC-181`; `DEC-013`, `DEC-019`, `DEC-021`; `NFR-002`; Context Pack §6.1.6 e Fonte D §D.10",WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/NFR-086.json + raw-log hash,G6,DOCUMENTATION_ONLY
NFR-087,"Q16.5` / `DEC-182`; `DEC-020`, `DEC-021`; Prompt Master `IRB-16",WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/NFR-087.json + raw-log hash,G6,DOCUMENTATION_ONLY
NFR-088,"Q16.6` / `DEC-183`; `DEC-015`; `ARC-005`; Context Pack §6.1.4, Fonte B §§86–88, Fonte C §2.5",WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-088.json + raw-log hash,G6,ABSENT
NFR-089,"Q16.7` / `DEC-184`; Context Pack §6.1.1; `ARC-017`; Fonte A; Prompt Master `IRB-4`, `IRB-18",WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/NFR-089.json + raw-log hash,G6,DOCUMENTATION_ONLY
NFR-090,Q17.3` / `DEC-188`; `DEC-027`; `EV-034`; Context Pack `ARC-013,WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/NFR-090.json + raw-log hash,G6,ABSENT
NFR-091,"Q17.4` / `DEC-189`; `DEC-026`, `DEC-027`; `NFR-003`, `NFR-004`; `EV-001",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/NFR-091.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-092,"Q17.4` / `DEC-189`; `DEC-026`, `DEC-027`; `ARC-010`–`ARC-017",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/NFR-092.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
NFR-093,Q17.6` / `DEC-191`; `DEC-015`; `ARC-017`; `RSK-002`; `EV-035,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/NFR-093.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
